"(37.8393332, -84.2700179)"
"(37.950916, -83.62574520000001)"
"(37.7525922, -83.0687816)"
"(30.5190775, -91.5208624)"
"(30.5190775, -91.5208624)"
"(30.4943669, -92.4176324)"
""
"(30.5190775, -91.5208624)"
"(30.5190775, -91.5208624)"
"(39.373855, -75.7826366)"
"(39.0457549, -76.64127119999999)"
"(39.0457549, -76.64127119999999)"
"(39.0457549, -76.64127119999999)"
"(39.6197501, -76.4751814)"
"(39.0457549, -76.64127119999999)"
"(42.6534763, -84.0268562)"
"(43.3136089, -82.9818667)"
"(44.3148443, -85.60236429999999)"
"(42.8263126, -86.1653604)"
"(43.6037692, -84.7985281)"
"(44.3148443, -85.60236429999999)"
"(44.3148443, -85.60236429999999)"
"(36.8412411, -94.6108415)"
"(37.9642529, -91.8318334)"
"(39.4117889, -92.8349075)"
""
"(37.9642529, -91.8318334)"
""
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(37.3825292, -89.6687207)"
"(37.9642529, -91.8318334)"
"(36.64894930000001, -94.4456826)"
"(37.9642529, -91.8318334)"
"(39.1158866, -92.68685909999999)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
""
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(37.8665412, -90.5244262)"
"(37.34010050000001, -89.5887178)"
"(38.4701805, -91.8332672)"
"(38.5833353, -92.3112829)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(36.6638487, -93.88530399999999)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(39.744731, -94.50299299999999)"
"(39.4180121, -94.89262869999999)"
"(39.7952946, -93.5524358)"
""
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(38.41940659999999, -90.96460069999999)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
""
"(37.9642529, -91.8318334)"
"(37.1753474, -92.596308)"
"(36.7624692, -90.4173106)"
"(37.9642529, -91.8318334)"
"(38.9133249, -92.29111999999999)"
"(37.9642529, -91.8318334)"
"(38.1338272, -90.4725036)"
""
"(39.3198158, -91.8888504)"
"(40.0691363, -95.2264495)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(38.7748433, -92.2582504)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(37.9642529, -91.8318334)"
"(38.489255, -92.268489)"
"(37.9642529, -91.8318334)"
"(32.3546679, -89.3985283)"
"(33.4042167, -90.8660049)"
"(31.326809, -89.2902508)"
"(32.3546679, -89.3985283)"
"(46.8796822, -110.3625658)"
"(46.8796822, -110.3625658)"
"(46.8796822, -110.3625658)"
"(35.7595731, -79.01929969999999)"
"(35.7595731, -79.01929969999999)"
"(35.7595731, -79.01929969999999)"
"(35.7595731, -79.01929969999999)"
"(35.7595731, -79.01929969999999)"
"(35.7595731, -79.01929969999999)"
"(47.5514926, -101.0020119)"
"(47.5514926, -101.0020119)"
"(47.5514926, -101.0020119)"
"(47.5514926, -101.0020119)"
"(47.5514926, -101.0020119)"
"(47.5514926, -101.0020119)"
"(44.08438210000001, -72.00971059999999)"
"(43.1938516, -71.5723953)"
""
"(42.9382178, -70.8387453)"
"(43.1938516, -71.5723953)"
"(43.97330729999999, -71.1295371)"
"(43.1884722, -70.9066576)"
"(43.1938516, -71.5723953)"
"(43.1938516, -71.5723953)"
"(43.3083842, -71.8324185)"
"(43.1938516, -71.5723953)"
"(43.1938516, -71.5723953)"
"(43.1938516, -71.5723953)"
"(34.9727305, -105.0323635)"
"(40.7127753, -74.0059728)"
"(40.7127753, -74.0059728)"
"(40.7127753, -74.0059728)"
"(40.7127753, -74.0059728)"
"(40.7127753, -74.0059728)"
"(40.7127753, -74.0059728)"
"(40.7127753, -74.0059728)"
"(40.7127753, -74.0059728)"
"(40.7127753, -74.0059728)"
"(40.7127753, -74.0059728)"
"(40.7127753, -74.0059728)"
"(40.7127753, -74.0059728)"
"(40.7127753, -74.0059728)"
"(40.7127753, -74.0059728)"
"(40.7127753, -74.0059728)"
"(40.7127753, -74.0059728)"
"(40.7796793, -73.9495385)"
"(40.7127753, -74.0059728)"
"(40.7127753, -74.0059728)"
"(40.7127753, -74.0059728)"
"(40.7127753, -74.0059728)"
"(40.7127753, -74.0059728)"
